"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000155966",136.98286755308,-2.86588175310037,0.357554503788801,-8.01523046901173,1.09930685141914e-15,2.06999480122224e-11
"ENSG00000273136",31.5797195362536,-4.20410282997575,0.568042403809644,-7.40103696798063,1.35125104594575e-13,1.27220285975792e-09
"ENSG00000138615",3508.92370417092,-3.38494051805627,0.522249111173761,-6.48146726463273,9.08348781754221e-11,5.70140252014399e-07
"ENSG00000005073",81.2134168236261,-2.06111693768398,0.320589639784759,-6.42914393324686,1.2832457562304e-10,6.04087939745459e-07
"ENSG00000253293",328.953116565843,-1.27819013805981,0.21660318143614,-5.90106816338083,3.61155645975185e-09,1.36011216274255e-05
"ENSG00000145423",21832.838204293,-1.49540979010602,0.261123336430972,-5.72683319133879,1.02322689602562e-08,3.06517974286314e-05
"ENSG00000243137",111.361582615696,5.47860371348585,0.959720096997316,5.70854328322059,1.1394720233692e-08,3.06517974286314e-05
"ENSG00000113739",225.512032568742,-1.77678174520505,0.32498910289045,-5.46720406746679,4.57189605186183e-08,0.000107611003320698
"ENSG00000172250",65.7089882493525,2.04288662840153,0.376783817166497,5.42190650268507,5.89667238812288e-08,0.000123371490075949
"ENSG00000064205",11645.2779873204,-2.27919968601283,0.426286947932839,-5.34663258414357,8.96056498752326e-08,0.000168727438715063
"ENSG00000144891",501.05359951282,-1.47745964387283,0.280134780778498,-5.27410284352037,1.33407083989133e-07,0.000228368671955944
"ENSG00000129824",831.848068110125,-7.21056885346128,1.37173479123123,-5.25653274930009,1.46796645792731e-07,0.000230348403356428
"ENSG00000127241",1339.05741742136,-1.8159899593102,0.348665374800172,-5.20840350250146,1.90472364554013e-07,0.000275891894196313
"ENSG00000101098",136.398387353701,-2.11466450227257,0.421290680866399,-5.01949033841358,5.18087510039983e-07,0.000696827701003777
"ENSG00000107562",10093.4982557368,-1.37262759185203,0.274294748781494,-5.00420659873981,5.60925738816318e-07,0.000704148777460751
"ENSG00000067048",245.762368547177,-7.10902727516538,1.45543229975789,-4.88447815562974,1.03703138306071e-06,0.00122045630893957
"ENSG00000112214",102.272214835407,-1.6663734832135,0.342485653403539,-4.86552784519143,1.14151737425438e-06,0.00126439836218883
"ENSG00000012817",282.554462106414,-6.87431408361347,1.44587859939031,-4.75441996756311,1.99016958118457e-06,0.00208193851187252
"ENSG00000107821",517.319293777694,-1.3881737879408,0.292757898409785,-4.74171250538804,2.11919211326976e-06,0.00210023092067735
"ENSG00000182389",234.789620572657,1.48437300399802,0.316991502440366,4.6826902064268,2.83134255782921e-06,0.0026657090181962
"ENSG00000106031",42.6966636165603,-1.57485490133294,0.339067336851753,-4.64466709166238,3.40625270300608e-06,0.00305427325702878
"ENSG00000112936",738.779481834845,-1.73104939455443,0.375354167074888,-4.61177614743002,3.9924281468162e-06,0.00341715554566132
"ENSG00000137869",43.6367063073077,-2.98513394668532,0.651151555283016,-4.5843919475672,4.55309462091088e-06,0.00372759877007617
"ENSG00000078098",2446.56511543878,1.13486490440926,0.249522623080295,4.54814433416751,5.41210139756041e-06,0.00424624455483594
"ENSG00000099725",209.411032852453,-6.74044784426094,1.48489438762956,-4.53934495302469,5.64292557554108e-06,0.00425025154349754
"ENSG00000280434",31.7034212259951,-1.68707018163083,0.376658117508981,-4.47904904529398,7.49763069522757e-06,0.00543001484581289
"ENSG00000163803",400.025081884107,0.87766377905395,0.198952840479877,4.41141617750726,1.02696710699083e-05,0.0069943853010269
"ENSG00000008277",101.683408128116,-0.956804093395243,0.217027664836697,-4.4086734016845,1.040057293833e-05,0.0069943853010269
"ENSG00000165124",1791.34805934616,-0.971793460491779,0.222674505241889,-4.3641882551221,1.27595663627543e-05,0.00828491843485043
"ENSG00000155542",81.6404987078486,-1.83120314678162,0.420628253127852,-4.35349535644486,1.33983934742468e-05,0.00840972497066889
"ENSG00000164651",68.2865763198153,-2.75991614056792,0.637757498413076,-4.32753224765743,1.50789273625563e-05,0.00915923233022373
"ENSG00000230838",374.620315591322,4.07474152237291,0.943971908100537,4.31659193182148,1.58456703744015e-05,0.0093241866609369
"ENSG00000275385",219.007043659274,2.56718386216429,0.601273943575695,4.26957444205481,1.95846277323742e-05,0.0111751072788062
"ENSG00000165379",83.3406895948886,-1.31436296196224,0.31035916232095,-4.23497393192158,2.28578220684945e-05,0.0126591996926398
"ENSG00000103534",63.4346144282786,1.97215715475548,0.467515985707445,4.2183737349028,2.46070705791821e-05,0.0132386039716
"ENSG00000290840",24.7255853646311,-8.23523030939309,1.97291008052395,-4.17415390122901,2.99095525460897e-05,0.015644357623413
"ENSG00000225972",4362.95102238731,-6.87070655997462,1.65556628362263,-4.150064318138,3.32381863768138e-05,0.0169155418777136
"ENSG00000122733",128.311478289788,-1.09666262330522,0.265701326825713,-4.12742622103869,3.66846073876791e-05,0.0173063773431403
"ENSG00000101000",698.10288214042,-1.1779337774611,0.284643505836995,-4.1382773655678,3.49923194783642e-05,0.0173063773431403
"ENSG00000291033",76.5923409886043,-7.4731439224205,1.81082288320106,-4.12693256295168,3.67634144304627e-05,0.0173063773431403
"ENSG00000274512",18.1309084452155,-5.23017263541388,1.27814544423184,-4.09200115606341,4.27666519237221e-05,0.0196413672127729
"ENSG00000146574",208.007784238798,-0.931696528792387,0.229271477103746,-4.06372628886057,4.82954559715574e-05,0.0216524627605816
"ENSG00000188312",978.856440184671,0.946091124884841,0.233205338351553,4.0569016625967,4.97280069674235e-05,0.0217762411906182
